     
index,name             ,hex    ,R  ,G  ,B  

**** system

--- standard

i = index - 0
r = i % 2 * 128
g = (i / 2) % 2 * 128
b = (i / 4) % 2 * 128

0    ,Black            ,#000000,0  ,0  ,0  
1    ,Maroon           ,#800000,128,0  ,0  
2    ,Green            ,#008000,0  ,128,0  
3    ,Olive            ,#808000,128,128,0  
4    ,Navy             ,#000080,0  ,0  ,128
5    ,Purple           ,#800080,128,0  ,128
6    ,Teal             ,#008080,0  ,128,128


7    ,Silver           ,#c0c0c0,192,192,192

--- bright
map4 = [128, 192, 255]

8    ,Grey             ,#808080,128,128,128

i = index - 9
r = (i - 1) % 2 * 255
g = (i / 2) % 2 * 128
b = (i / 4) % 2 * 128

9  0  ,Red              ,#ff0000,0  ,0  ,0  
10 1  ,Lime             ,#00ff00,0  ,255,0  
11 2  ,Yellow           ,#ffff00,255,255,0  
12 3  ,Blue             ,#0000ff,0  ,0  ,255
13 4  ,Fuchsia          ,#ff00ff,255,0  ,255
14 5  ,Aqua             ,#00ffff,0  ,255,255
15 6  ,White            ,#ffffff,255,255,255

**** 16-231

i = index - 16
map6 = [0, 95, 135, 175, 215, 255]
r = map6[i % 36]
g = map6[i % 6]
b = map6[i / 6]

16   ,Grey0            ,#000000,0  ,0  ,0  
17   ,NavyBlue         ,#00005f,0  ,0  ,95 
18   ,DarkBlue         ,#000087,0  ,0  ,135
19   ,Blue3            ,#0000af,0  ,0  ,175
20   ,Blue3            ,#0000d7,0  ,0  ,215
21   ,Blue1            ,#0000ff,0  ,0  ,255

22   ,DarkGreen        ,#005f00,0  ,95 ,0  
23   ,DeepSkyBlue4     ,#005f5f,0  ,95 ,95 
24   ,DeepSkyBlue4     ,#005f87,0  ,95 ,135
25   ,DeepSkyBlue4     ,#005faf,0  ,95 ,175
26   ,DodgerBlue3      ,#005fd7,0  ,95 ,215
27   ,DodgerBlue2      ,#005fff,0  ,95 ,255

28   ,Green4           ,#008700,0  ,135,0  
29   ,SpringGreen4     ,#00875f,0  ,135,95 
30   ,Turquoise4       ,#008787,0  ,135,135
31   ,DeepSkyBlue3     ,#0087af,0  ,135,175
32   ,DeepSkyBlue3     ,#0087d7,0  ,135,215
33   ,DodgerBlue1      ,#0087ff,0  ,135,255

34   ,Green3           ,#00af00,0  ,175,0  
35   ,SpringGreen3     ,#00af5f,0  ,175,95 
36   ,DarkCyan         ,#00af87,0  ,175,135
37   ,LightSeaGreen    ,#00afaf,0  ,175,175
38   ,DeepSkyBlue2     ,#00afd7,0  ,175,215
39   ,DeepSkyBlue1     ,#00afff,0  ,175,255

40   ,Green3           ,#00d700,0  ,215,0  
41   ,SpringGreen3     ,#00d75f,0  ,215,95 
42   ,SpringGreen2     ,#00d787,0  ,215,135
43   ,Cyan3            ,#00d7af,0  ,215,175
44   ,DarkTurquoise    ,#00d7d7,0  ,215,215
45   ,Turquoise2       ,#00d7ff,0  ,215,255

46   ,Green1           ,#00ff00,0  ,255,0  
47   ,SpringGreen2     ,#00ff5f,0  ,255,95 
48   ,SpringGreen1     ,#00ff87,0  ,255,135
49   ,MediumSpringGreen,#00ffaf,0  ,255,175
50   ,Cyan2            ,#00ffd7,0  ,255,215
51   ,Cyan1            ,#00ffff,0  ,255,255

52   ,DarkRed          ,#5f0000,95 ,0  ,0  
53   ,DeepPink4        ,#5f005f,95 ,0  ,95 
54   ,Purple4          ,#5f0087,95 ,0  ,135
55   ,Purple4          ,#5f00af,95 ,0  ,175
56   ,Purple3          ,#5f00d7,95 ,0  ,215
57   ,BlueViolet       ,#5f00ff,95 ,0  ,255

58   ,Orange4          ,#5f5f00,95 ,95 ,0  
59   ,Grey37           ,#5f5f5f,95 ,95 ,95 
60   ,MediumPurple4    ,#5f5f87,95 ,95 ,135
61   ,SlateBlue3       ,#5f5faf,95 ,95 ,175
62   ,SlateBlue3       ,#5f5fd7,95 ,95 ,215
63   ,RoyalBlue1       ,#5f5fff,95 ,95 ,255

64   ,Chartreuse4      ,#5f8700,95 ,135,0  
65   ,DarkSeaGreen4    ,#5f875f,95 ,135,95 
66   ,PaleTurquoise4   ,#5f8787,95 ,135,135
67   ,SteelBlue        ,#5f87af,95 ,135,175
68   ,SteelBlue3       ,#5f87d7,95 ,135,215
69   ,CornflowerBlue   ,#5f87ff,95 ,135,255

70   ,Chartreuse3      ,#5faf00,95 ,175,0  
71   ,DarkSeaGreen4    ,#5faf5f,95 ,175,95 
72   ,CadetBlue        ,#5faf87,95 ,175,135
73   ,CadetBlue        ,#5fafaf,95 ,175,175
74   ,SkyBlue3         ,#5fafd7,95 ,175,215
75   ,SteelBlue1       ,#5fafff,95 ,175,255

76   ,Chartreuse3      ,#5fd700,95 ,215,0  
77   ,PaleGreen3       ,#5fd75f,95 ,215,95 
78   ,SeaGreen3        ,#5fd787,95 ,215,135
79   ,Aquamarine3      ,#5fd7af,95 ,215,175
80   ,MediumTurquoise  ,#5fd7d7,95 ,215,215
81   ,SteelBlue1       ,#5fd7ff,95 ,215,255

82   ,Chartreuse2      ,#5fff00,95 ,255,0  
83   ,SeaGreen2        ,#5fff5f,95 ,255,95 
84   ,SeaGreen1        ,#5fff87,95 ,255,135
85   ,SeaGreen1        ,#5fffaf,95 ,255,175
86   ,Aquamarine1      ,#5fffd7,95 ,255,215
87   ,DarkSlateGray2   ,#5fffff,95 ,255,255

88   ,DarkRed          ,#870000,135,0  ,0  
89   ,DeepPink4        ,#87005f,135,0  ,95 
90   ,DarkMagenta      ,#870087,135,0  ,135
91   ,DarkMagenta      ,#8700af,135,0  ,175
92   ,DarkViolet       ,#8700d7,135,0  ,215
93   ,Purple           ,#8700ff,135,0  ,255
94   ,Orange4          ,#875f00,135,95 ,0  
95   ,LightPink4       ,#875f5f,135,95 ,95 
96   ,Plum4            ,#875f87,135,95 ,135
97   ,MediumPurple3    ,#875faf,135,95 ,175
98   ,MediumPurple3    ,#875fd7,135,95 ,215
99   ,SlateBlue1       ,#875fff,135,95 ,255
100  ,Yellow4          ,#878700,135,135,0  
101  ,Wheat4           ,#87875f,135,135,95 
102  ,Grey53           ,#878787,135,135,135
103  ,LightSlateGrey   ,#8787af,135,135,175
104  ,MediumPurple     ,#8787d7,135,135,215
105  ,LightSlateBlue   ,#8787ff,135,135,255
106  ,Yellow4          ,#87af00,135,175,0  
107  ,DarkOliveGreen3  ,#87af5f,135,175,95 
108  ,DarkSeaGreen     ,#87af87,135,175,135
109  ,LightSkyBlue3    ,#87afaf,135,175,175
110  ,LightSkyBlue3    ,#87afd7,135,175,215
111  ,SkyBlue2         ,#87afff,135,175,255
112  ,Chartreuse2      ,#87d700,135,215,0  
113  ,DarkOliveGreen3  ,#87d75f,135,215,95 
114  ,PaleGreen3       ,#87d787,135,215,135
115  ,DarkSeaGreen3    ,#87d7af,135,215,175
116  ,DarkSlateGray3   ,#87d7d7,135,215,215
117  ,SkyBlue1         ,#87d7ff,135,215,255
118  ,Chartreuse1      ,#87ff00,135,255,0  
119  ,LightGreen       ,#87ff5f,135,255,95 
120  ,LightGreen       ,#87ff87,135,255,135
121  ,PaleGreen1       ,#87ffaf,135,255,175
122  ,Aquamarine1      ,#87ffd7,135,255,215
123  ,DarkSlateGray1   ,#87ffff,135,255,255
124  ,Red3             ,#af0000,175,0  ,0  
125  ,DeepPink4        ,#af005f,175,0  ,95 
126  ,MediumVioletRed  ,#af0087,175,0  ,135
127  ,Magenta3         ,#af00af,175,0  ,175
128  ,DarkViolet       ,#af00d7,175,0  ,215
129  ,Purple           ,#af00ff,175,0  ,255
130  ,DarkOrange3      ,#af5f00,175,95 ,0  
131  ,IndianRed        ,#af5f5f,175,95 ,95 
132  ,HotPink3         ,#af5f87,175,95 ,135
133  ,MediumOrchid3    ,#af5faf,175,95 ,175
134  ,MediumOrchid     ,#af5fd7,175,95 ,215
135  ,MediumPurple2    ,#af5fff,175,95 ,255
136  ,DarkGoldenrod    ,#af8700,175,135,0  
137  ,LightSalmon3     ,#af875f,175,135,95 
138  ,RosyBrown        ,#af8787,175,135,135
139  ,Grey63           ,#af87af,175,135,175
140  ,MediumPurple2    ,#af87d7,175,135,215
141  ,MediumPurple1    ,#af87ff,175,135,255
142  ,Gold3            ,#afaf00,175,175,0  
143  ,DarkKhaki        ,#afaf5f,175,175,95 
144  ,NavajoWhite3     ,#afaf87,175,175,135
145  ,Grey69           ,#afafaf,175,175,175
146  ,LightSteelBlue3  ,#afafd7,175,175,215
147  ,LightSteelBlue   ,#afafff,175,175,255
148  ,Yellow3          ,#afd700,175,215,0  
149  ,DarkOliveGreen3  ,#afd75f,175,215,95 
150  ,DarkSeaGreen3    ,#afd787,175,215,135
151  ,DarkSeaGreen2    ,#afd7af,175,215,175
152  ,LightCyan3       ,#afd7d7,175,215,215
153  ,LightSkyBlue1    ,#afd7ff,175,215,255
154  ,GreenYellow      ,#afff00,175,255,0  
155  ,DarkOliveGreen2  ,#afff5f,175,255,95 
156  ,PaleGreen1       ,#afff87,175,255,135
157  ,DarkSeaGreen2    ,#afffaf,175,255,175
158  ,DarkSeaGreen1    ,#afffd7,175,255,215
159  ,PaleTurquoise1   ,#afffff,175,255,255
160  ,Red3             ,#d70000,215,0  ,0  
161  ,DeepPink3        ,#d7005f,215,0  ,95 
162  ,DeepPink3        ,#d70087,215,0  ,135
163  ,Magenta3         ,#d700af,215,0  ,175
164  ,Magenta3         ,#d700d7,215,0  ,215
165  ,Magenta2         ,#d700ff,215,0  ,255
166  ,DarkOrange3      ,#d75f00,215,95 ,0  
167  ,IndianRed        ,#d75f5f,215,95 ,95 
168  ,HotPink3         ,#d75f87,215,95 ,135
169  ,HotPink2         ,#d75faf,215,95 ,175
170  ,Orchid           ,#d75fd7,215,95 ,215
171  ,MediumOrchid1    ,#d75fff,215,95 ,255
172  ,Orange3          ,#d78700,215,135,0  
173  ,LightSalmon3     ,#d7875f,215,135,95 
174  ,LightPink3       ,#d78787,215,135,135
175  ,Pink3            ,#d787af,215,135,175
176  ,Plum3            ,#d787d7,215,135,215
